Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA replication (GO:0006260)	38/108	3.6063479788439355E-27	1.1691780147412039E-23	0	0	14.730854718124874	896.9190521604107	BLM;FEN1;MCM7;MCM8;MCM10;BRCA1;RECQL4;BRIP1;ORC6;CDC45;EXO1;CHEK1;PCLAF;CLSPN;TOPBP1;POLE;BARD1;RFC5;WDHD1;RFC3;RMI2;RFC4;RFC2;RPA1;CDC6;TICRR;FAM111B;POLA1;POLA2;CDK2;POLE3;TIMELESS;MCM3;MCM4;MCM5;DNA2;MCM6;RHNO1
DNA metabolic process (GO:0006259)	55/277	8.789966112408436E-25	1.4248535068214075E-21	0	0	6.833888236062149	378.5360158269586	TOP2A;FEN1;MCM7;MCM8;HMGB2;MCM10;BRCA1;EXO1;CHEK1;TOPBP1;POLE;GEN1;RFC5;WDHD1;HELLS;RMI2;RFC3;RFC4;RFC2;SMC1A;MSH6;MSH2;TIMELESS;MCM3;MCM4;MCM5;DNA2;MCM6;EXD2;BLM;PCNA;UHRF1;PRIM1;TYMS;RECQL4;POLD3;ORC6;CDC45;RAD54L;BARD1;CDT1;POLQ;XRCC2;XRCC3;RPA1;FANCA;CDC6;FANCG;TICRR;POLA1;POLA2;RAD51;CDK2;POLE3;NABP1
DNA-dependent DNA replication (GO:0006261)	33/129	6.885973866071498E-19	7.441442424601266E-16	0	0	9.249868328651685	386.82607287704354	BLM;MCM7;MCM8;PRIM1;MCM10;POLD3;RECQL4;ORC6;CDC45;TOPBP1;POLE;RFC5;WDHD1;CDT1;MGME1;RFC3;RFC4;RFC2;GINS3;GINS4;HMGA1;RPA1;CDC6;POLA1;POLA2;RAD51;CDK2;POLE3;MCM3;MCM4;MCM5;DNA2;MCM6
DNA replication initiation (GO:0006270)	19/38	1.0300622683930802E-17	8.348654685325915E-15	0	0	26.49586776859504	1036.3680446801911	CDT1;MCM7;MCM8;PRIM1;RPA1;MCM10;CDC6;POLA1;POLA2;CDC45;ORC6;CDK2;POLE3;MCM3;MCM4;MCM5;TOPBP1;MCM6;POLE
DNA repair (GO:0006281)	44/298	5.098837684166246E-15	3.306086354413394E-12	0	0	4.695451941545823	154.52621426582184	EXD2;FEN1;BLM;PCNA;CDCA5;BRCA1;RECQL4;POLD3;BRIP1;EME1;EXO1;CHEK1;NSD2;USP1;RAD54L;TOPBP1;POLE;BARD1;FANCI;RFC5;WDHD1;MGME1;POLQ;RMI2;RFC3;RFC4;RFC2;XRCC2;XRCC3;RPA1;FANCA;SMC1A;FANCG;TICRR;MSH6;POLA1;RAD51;MSH2;FANCD2;RFWD3;TIMELESS;NABP1;DNA2;RHNO1
double-strand break repair via homologous recombination (GO:0000724)	24/97	9.394999373796045E-14	4.5790593475332506E-11	0	0	8.746755837592385	262.3678082472713	GEN1;EXD2;POLQ;BLM;FEN1;MCM7;MCM8;XRCC2;XRCC3;GINS4;TONSL;RPA1;BRCA1;RECQL4;MMS22L;CDC45;RAD51;RFWD3;MCM3;NABP1;MCM4;RAD54L;MCM5;MCM6
DNA strand elongation involved in DNA replication (GO:0006271)	12/18	9.886926413551126E-14	4.5790593475332506E-11	0	0	52.52114597544338	1572.7445598123625	POLD3;POLA1;RFC3;PCNA;RFC4;MCM7;GINS3;GINS4;POLE3;MCM3;MCM4;POLE
cellular macromolecule biosynthetic process (GO:0034645)	42/314	6.605357558912069E-13	2.676821150749116E-10	0	0	4.169556940841771	116.93824790938727	FEN1;BLM;MCM7;MCM8;MCM10;BRCA1;TYMS;RECQL4;POLD3;BRIP1;ORC6;CDC45;EXO1;CHEK1;PCLAF;E2F1;CLSPN;TOPBP1;POLE;BARD1;RFC5;RMI2;RFC3;RFC4;RFC2;RPA1;CDC6;TICRR;FAM111B;POLA1;POLA2;GOLPH3;CDK2;POLE3;TIMELESS;MCM3;MCM4;MCM5;DNA2;MCM6;RHNO1;B4GALT5
cellular response to DNA damage stimulus (GO:0006974)	44/350	1.62608864643486E-12	5.857532657490907E-10	0	0	3.8868656354600803	105.5083597228605	TOP2A;FEN1;BLM;MCM7;MCM8;MCM10;BRCA1;RECQL4;EXO1;CHEK1;PCLAF;E2F1;RAD54L;TOPBP1;BARD1;LYN;RFC5;WDHD1;POLQ;RMI2;RFC3;RFC4;RFC2;DDX11;XRCC2;XRCC3;RPA1;FANCA;UBE2E2;MASTL;SMC1A;WDR76;FANCG;TICRR;MSH6;POLA1;RAD51;MSH2;RFWD3;POLE3;TIMELESS;CRY1;NABP1;DTL
recombinational repair (GO:0000725)	17/79	3.927767448008116E-9	1.2733822066442312E-6	0	0	7.2288417227933355	139.9156386522295	GEN1;EXD2;POLQ;FEN1;BLM;MCM8;XRCC2;XRCC3;TONSL;RPA1;BRCA1;RECQL4;MMS22L;RAD51;RFWD3;NABP1;RHNO1
DNA strand elongation (GO:0022616)	9/18	4.732013802230625E-9	1.3946535224392443E-6	0	0	26.14945652173913	501.2567086828001	POLD3;POLA1;RFC3;RFC4;MCM7;GINS3;GINS4;MCM3;MCM4
double-strand break repair (GO:0006302)	24/164	1.0091355313800349E-8	2.5260210865343284E-6	0	0	4.54487814543293	83.67841796614175	GEN1;BARD1;EXD2;POLQ;BLM;FEN1;MCM8;CDCA5;XRCC2;XRCC3;TONSL;HMGB2;RPA1;BRCA1;RECQL4;POLA1;MMS22L;BRIP1;RAD51;EME1;RFWD3;NSD2;NABP1;DNA2
replication fork processing (GO:0031297)	12/39	1.0129017311827966E-8	2.5260210865343284E-6	0	0	11.658632711838715	214.61049660157622	GEN1;EXD2;MMS22L;BLM;PCNA;RAD51;EME1;ZGRF1;DDX11;RFWD3;TONSL;DNA2
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	12/43	3.4640185038798537E-8	7.590687728087128E-6	0	0	10.152180609954671	174.39671089275416	GEN1;EXD2;MMS22L;BLM;PCNA;RAD51;EME1;DDX11;RFWD3;TONSL;TIMELESS;POLE
DNA unwinding involved in DNA replication (GO:0006268)	8/16	3.5249909083297904E-8	7.590687728087128E-6	0	0	26.115332428765264	448.16007213561255	RECQL4;BLM;RAD51;MCM7;HMGA1;RPA1;MCM4;MCM6
mitotic sister chromatid segregation (GO:0000070)	18/102	3.746175313059656E-8	7.590687728087128E-6	0	0	5.650717233248183	96.62695582574341	SPAG5;CDCA5;NCAPG2;NCAPG;HASPIN;SMC1A;SMC4;NCAPH;ZWINT;SMC2;PHF8;DSN1;KIF18A;KIF18B;SPDL1;NCAPD3;CEP55;DLGAP5
